"File","Properties","Alt+Enter","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Edit","Run Query command","Ctrl+Enter","Editing HQL"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"File","Rename","F2","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Project","Build All","Ctrl+B","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Step Over","F6","Debugging"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Visual Page Editor","Maximize/Restore Visual Part","Alt+Shift+F6","Visual Page Editor"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Run/Debug","Resume","F8","Debugging"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"File","Refresh","F5","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Open Declaration","F3","JavaScript View"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Window","Next Editor","Ctrl+F6","In Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Search","Find Seam Declarations","Ctrl+G","Editing in Structured Text Editors"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"File","Print","Ctrl+P","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Visual Page Editor","Maximize/Restore Source Part","Shift+F6","Visual Page Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Navigate","Open Seam Component","Ctrl+Shift+Z","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Source","Override/Implement Methods","Alt+O","Editing Java Source"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"File","Close","Ctrl+W","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Navigate","Next","Ctrl+.","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"File","New","Ctrl+N","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Projects","Build Project Archives","Alt+Shift+Y, B","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Text Editing","Line End","End","Editing Text"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"File","Save All","Ctrl+Shift+S","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"File","Save","Ctrl+S","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Visual Page Editor","Jump","Ctrl+Shift+Tab","Visual Page Editor"
"Window","Quick Access","Ctrl+3","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Next View","Ctrl+F7","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Visual Page Editor Category","Externalize selected string...","Ctrl+7","In Windows"
"Navigate","Show In (Package Explorer)","Ctrl+Alt+Home","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Visual Page Editor","Refresh","Ctrl+R","Visual Page Editor"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Navigate","Forward History","Alt+Right","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Delete","Delete","In Windows"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Navigate","Open CDI Named Bean","Ctrl+Alt+Z","In Windows"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"CSS Dialog","Open CSS Dialog","Ctrl+Shift+C","Editing CSS Source"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
