PAIS;POSTO_APLICADOR;NU_INSCRICAO;NOTA_ENTREVISTADOR;NOTA_OBSERVADOR;NOTA_FINAL;DISCREPANCIA;SITUACAO
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004484;4;3,58;3,79;0,42;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003542;2;3,25;2,625;1,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003909;2;2,33;2,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003028;3;3,04;3,02;0,04;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003431;3;3,41;3,205;0,41;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001275;3;3,58;3,29;0,58;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003115;4;3,25;3,625;0,75;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002602;3;3,5;3,25;0,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000994;3;3,96;3,48;0,96;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002290;2;2,08;2,04;0,08;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000085;2;1,62;1,81;0,38;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001041;1;1;1;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002808;4;4,58;4,29;0,58;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004265;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004094;3;3,17;3,085;0,17;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000449;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001481;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003251;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000961;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000402;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001245;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003304;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002297;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001326;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000648;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001193;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001120;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000097;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003355;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000914;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004081;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002286;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001043;2;2,46;2,23;0,46;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001036;4;3,58;3,79;0,42;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000687;4;4,75;4,375;0,75;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004076;2;3,33;2,665;1,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004198;2;3,12;2,56;1,12;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004024;4;3,25;3,625;0,75;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000088;3;3,33;3,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002668;3;3,33;3,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003161;4;4,29;4,145;0,29;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003060;4;3,41;3,705;0,59;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002965;2;2,54;2,27;0,54;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002955;3;2,62;2,81;0,38;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002035;5;4,79;4,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002501;1;1,25;1,125;0,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000939;2;2,41;2,205;0,41;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002822;3;4,12;3,56;1,12;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000988;3;2,33;2,665;0,67;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003980;4;4,58;4,29;0,58;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002793;4;4,04;4,02;0,04;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002565;3;3,5;3,25;0,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004172;2;2,88;2,44;0,88;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001110;0;0;0;0;Ausente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001308;5;5;5;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004179;4;4,25;4,125;0,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000941;1;1,46;1,23;0,46;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003200;2;2,41;2,205;0,41;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003234;3;2,79;2,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003934;2;2;2;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001977;3;3,54;3,27;0,54;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301000747;3;3;3;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004472;5;4,79;4,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002951;3;2,54;2,77;0,46;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003403;3;2,71;2,855;0,29;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002975;3;3,5;3,25;0,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003754;4;3,79;3,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002683;4;4,33;4,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003546;3;3,33;3,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004518;3;3,33;3,165;0,33;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002744;3;3,25;3,125;0,25;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301004073;3;3,41;3,205;0,41;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002022;2;2,41;2,205;0,41;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003457;5;5;5;0;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003012;3;2,71;2,855;0,29;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002990;4;3,79;3,895;0,21;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301003058;4;4,58;4,29;0,58;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301002944;3;3,5;3,25;0,5;Presente
Argentina;Casa do Brasil-Escola de Línguas-Buenos Aires;201301001474;2;2,33;2,165;0,33;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002779;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000540;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002030;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002910;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002776;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000657;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003149;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001417;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001167;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301004378;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002391;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000251;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001883;3;4,17;3,585;1,17;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003609;3;3;3;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301004107;5;4,5;4,75;0,5;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003368;4;3,96;3,98;0,04;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001741;3;2,75;2,875;0,25;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003284;2;2,96;2,48;0,96;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001817;4;3,41;3,705;0,59;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000700;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001411;2;3,62;2,81;1,62;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003633;3;2,5;2,75;0,5;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002551;4;3,46;3,73;0,54;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002812;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000492;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003473;3;3,67;3,335;0,67;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001713;4;4,17;4,085;0,17;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003587;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000229;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001791;3;3,67;3,335;0,67;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000398;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000535;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001892;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002400;4;3,79;3,895;0,21;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001394;5;4;4,5;1;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002742;3;2,33;2,665;0,67;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002331;3;3,33;3,165;0,33;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000403;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002476;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000642;5;4,79;4,895;0,21;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002162;5;4,71;4,855;0,29;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001947;3;4,12;3,56;1,12;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003760;5;4,79;4,895;0,21;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003274;3;3;3;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000238;5;3,67;4,335;1,33;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001828;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001098;2;2,17;2,085;0,17;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003790;3;4,58;3,79;1,58;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003433;5;4,71;4,855;0,29;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002666;5;4,41;4,705;0,59;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003780;3;4,08;3,54;1,08;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000143;5;4,67;4,835;0,33;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002389;4;4,5;4,25;0,5;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003651;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003493;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301004142;2;3,08;2,54;1,08;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001166;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001471;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301004419;2;3;2,5;1;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000245;3;3,17;3,085;0,17;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001799;5;3,96;4,48;1,04;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001571;5;3,33;4,165;1,67;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003388;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000819;2;2,5;2,25;0,5;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003003;4;3,67;3,835;0,33;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000927;5;5;5;0;Presente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003531;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301004334;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002921;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002788;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301002713;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301003878;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001502;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301000502;0;0;0;0;Ausente
Paraguai;Centro Cultural Brasileiro-Assunción;201301001412;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003963;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000441;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000860;4;3,71;3,855;0,29;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000918;5;4,71;4,855;0,29;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301001944;3;4,58;3,79;1,58;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301002329;4;4,92;4,46;0,92;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301002562;5;4,79;4,895;0,21;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301002971;5;5;5;0;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003156;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003335;5;5;5;0;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003575;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003895;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301001272;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301002018;4;4,71;4,355;0,71;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003619;5;4,38;4,69;0,62;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000407;4;4,79;4,395;0,79;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000505;5;4,79;4,895;0,21;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000508;4;4,5;4,25;0,5;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301001068;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301002257;3;4,5;3,75;1,5;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301002706;5;3,88;4,44;1,12;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301002746;5;5;5;0;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003721;5;5;5;0;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003727;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003745;3;4,5;3,75;1,5;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003858;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301004228;4;4;4;0;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301004410;5;5;5;0;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000475;5;5;5;0;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000480;3;3,54;3,27;0,54;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000486;4;5;4,5;1;Presente
Espanha;Centro Cultural Brasileiro-Barcelona;201301001380;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301004229;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003783;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301001465;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301003859;0;0;0;0;Ausente
Espanha;Centro Cultural Brasileiro-Barcelona;201301000499;5;5;5;0;Presente
Guiana;Centro Cultural Brasileiro-Georgetown;201301001917;0;0;0;0;Ausente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000412;2;2,33;2,165;0,33;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000610;2;1,5;1,75;0,5;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000774;3;2,33;2,665;0,67;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000807;3;3,58;3,29;0,58;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000278;4;4,5;4,25;0,5;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000316;2;2,33;2,165;0,33;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000363;2;2,67;2,335;0,67;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000009;3;3,17;3,085;0,17;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000734;3;3,33;3,165;0,33;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000003;4;3,88;3,94;0,12;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000212;2;1,75;1,875;0,25;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000314;5;4,58;4,79;0,42;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000029;2;2,5;2,25;0,5;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000830;2;2,5;2,25;0,5;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000524;2;2,75;2,375;0,75;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000030;3;3,33;3,165;0,33;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000065;3;3,67;3,335;0,67;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000079;2;3,33;2,665;1,33;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000160;4;3,75;3,875;0,25;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000042;4;4,08;4,04;0,08;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000873;2;2,5;2,25;0,5;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000883;2;2,67;2,335;0,67;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000010;5;4,58;4,79;0,42;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000902;1;1,67;1,335;0,67;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000024;3;3,17;3,085;0,17;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000047;1;1,67;1,335;0,67;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000068;3;3,5;3,25;0,5;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000405;5;5;5;0;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000273;4;4,04;4,02;0,04;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000391;4;4,58;4,29;0,58;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000272;3;3,75;3,375;0,75;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000036;2;2,5;2,25;0,5;Presente
Bolívia;Centro Cultural Brasileiro-La Paz;201301000075;2;1,75;1,875;0,25;Presente
